numero_ocorrencia,data_ocorrencia,ano,municipio,dia_semana,bairro,estado,endereco,tipo_endereco,risp,local_especifico,grupo,subgrupo,natureza,faixa_etaria,sexo
18236022,2021-02-11 23:13:00.000,2021,GOIÂNIA,QUINTA,SETOR OESTE,GO,AVENIDA ANHANGÜERA - DE 5831 A 7299 - LADO ÍMPAR,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18235985,2021-02-11 23:08:00.000,2021,GOIÂNIA,QUINTA,SETOR DOS FUNCIONÁRIOS,GO,RUA P6,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18235807,2021-02-11 22:53:00.000,2021,GOIÂNIA,QUINTA,RESIDENCIAL JOÃO PAULO II,GO,RUA JP14,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18235751,2021-02-11 22:46:00.000,2021,GOIÂNIA,QUINTA,CONJUNTO CAIÇARA,GO,RUA MARIA CECILIA MASCANHERAS,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18235746,2021-02-11 22:44:00.000,2021,GOIÂNIA,QUINTA,SANTA GENOVEVA,GO,AL AERPORTO,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),65 OU +,MASCULINO
18235699,2021-02-11 22:44:00.000,2021,GOIÂNIA,QUINTA,JARDIM GUANABARA III,GO,RUA GB 29,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18235644,2021-02-11 22:40:00.000,2021,GOIÂNIA,QUINTA,SANTA GENOVEVA,GO,AVENIDA OSMAN GARAVELO,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),25 A 29,MASCULINO
18235613,2021-02-11 22:33:00.000,2021,GOIÂNIA,QUINTA,CONJUNTO CAIÇARA,GO,RUA PAULO MÁRCIO,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18235603,2021-02-11 22:34:00.000,2021,GOIÂNIA,QUINTA,SETOR NORTE FERROVIÁRIO II,GO,RUA SNF 2,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18235525,2021-02-11 22:29:00.000,2021,GOIÂNIA,QUINTA,VILA PEDROSO,GO,AVENIDA FRANCISCO CHARLES,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18235436,2021-02-11 22:20:00.000,2021,GOIÂNIA,QUINTA,PARQUE DAS AMENDOEIRAS,GO,RUA COSTA PARANHOS,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,FEMININO
18235314,2021-02-11 22:10:00.000,2021,GOIÂNIA,QUINTA,VILA PEDROSO,GO,AVENIDA FRANCISCO SALES,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,MASCULINO
18235125,2021-02-11 21:56:00.000,2021,GOIÂNIA,QUINTA,SANTO HILÁRIO,GO,RUA SH 5,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18234909,2021-02-11 21:40:00.000,2021,GOIÂNIA,QUINTA,RECANTO DAS MINAS GERAIS,GO,RUA SR 51,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
18176601,2021-02-07 15:16:00.000,2021,GOIÂNIA,DOMINGO,JARDIM NOVO MUNDO,GO,RUA 18,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),0 A 11,MASCULINO
18100700,2021-02-01 17:15:00.000,2021,GOIÂNIA,SEGUNDA,CONDOMÍNIO DAS ESMERALDAS,GO,RUA 52,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17863418,2021-01-14 06:13:00.000,2021,GOIÂNIA,QUINTA,PARQUE AMAZÔNIA,GO,AVENIDA FEIRA DE SANTANA - ATÉ 332/333,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17837483,2021-01-11 07:46:53.020,2021,GOIÂNIA,SEGUNDA,SETOR CENTRAL,GO,AV. PARANAIBA,URBANO,01ª RISP - GOIÂNIA,OUTRO,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17826053,2021-01-11 09:59:00.000,2021,GOIÂNIA,SEGUNDA,ZONA URBANA,GO,GO 020,URBANO,01ª RISP - GOIÂNIA,OUTRO,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17810241,2021-01-09 19:31:00.000,2021,GOIÂNIA,SÁBADO,SETOR SÃO JOSÉ,GO,RUA IRMÃO WENCESLAU,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,FEMININO
17809310,2021-01-09 18:56:00.000,2021,GOIÂNIA,SÁBADO,VILA SANTO AFONSO,GO,RUA JOÃO XXIII,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17809209,2021-01-09 18:48:00.000,2021,GOIÂNIA,SÁBADO,SETOR URIAS MAGALHÃES,GO,AVENIDA PAMPULHA,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17809100,2021-01-09 18:35:00.000,2021,GOIÂNIA,SÁBADO,AEROVIÁRIO,GO,RUA DOUTOR JOSE LOBO,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO-INFORMADO
17809064,2021-01-09 18:36:00.000,2021,GOIÂNIA,SÁBADO,SETOR SÃO JOSÉ,GO,RUA 5,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ENCHENTE/INUNDAÇÃO (40412),NÃO INFORMADO,NÃO INFORMADO
17808999,2021-01-09 18:32:00.000,2021,GOIÂNIA,SÁBADO,SETOR SÃO JOSÉ,GO,RUA 4,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17808299,2021-01-09 17:56:00.000,2021,GOIÂNIA,SÁBADO,JARDIM AMÉRICA,GO,AVENIDA C 197,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17808257,2021-01-09 17:51:00.000,2021,GOIÂNIA,SÁBADO,SETOR CAMPINAS,GO,AVENIDA ANHANGÜERA - DE 8033 A 8681 - LADO ÍMPAR,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17808097,2021-01-09 17:44:00.000,2021,GOIÂNIA,SÁBADO,VILA SANTO AFONSO,GO,RUA PADRE LÍBIO BUENO,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17808074,2021-01-09 17:38:00.000,2021,GOIÂNIA,SÁBADO,SETOR PEDRO LUDOVICO,GO,AVENIDA PRIMEIRA RADIAL,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ENCHENTE/INUNDAÇÃO (40412),NÃO INFORMADO,NÃO INFORMADO
17808045,2021-01-09 17:33:00.000,2021,GOIÂNIA,SÁBADO,JARDIM AMÉRICA,GO,C 107,URBANO,01ª RISP - GOIÂNIA,TERRENO/LOTE BALDIO,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17808008,2021-01-09 17:33:00.000,2021,GOIÂNIA,SÁBADO,JARDIM EUROPA,GO,RUA VERDI,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ENCHENTE/INUNDAÇÃO (40412),35 A 64,MASCULINO
17807836,2021-01-09 17:22:00.000,2021,GOIÂNIA,SÁBADO,SETOR SUDOESTE,GO,AVENIDA C 7,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ENCHENTE/INUNDAÇÃO (40412),NÃO INFORMADO,NÃO INFORMADO
17807669,2021-01-09 17:15:00.000,2021,GOIÂNIA,SÁBADO,SETOR SUDOESTE,GO,AVENIDA C 12,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17778047,2021-01-07 13:30:00.000,2021,GOIÂNIA,QUINTA,SETOR CENTRO OESTE,GO,RUA 15 DE NOVEMBRO,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17710013,2021-01-01 15:46:00.000,2021,GOIÂNIA,SEXTA,FAZENDA CAVEIRAS,GO,AVENIDA PERIMETRAL NORTE,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17650712,2020-12-27 16:54:00.000,2020,GOIÂNIA,DOMINGO,RECREIO DO FUNCIONÁRIO PÚBLICO,GO,RODOVIA BR 060,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17573728,2020-12-21 02:36:00.000,2020,GOIÂNIA,SEGUNDA,SETOR CENTRAL,GO,RUA 87,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ENCHENTE/INUNDAÇÃO (40412),NÃO INFORMADO,NÃO INFORMADO
17181911,2020-11-20 08:34:00.000,2020,GOIÂNIA,SEXTA,PARK LOZANDES,GO,GO 020,URBANO,01ª RISP - GOIÂNIA,OUTRO,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17181741,2020-11-20 08:09:00.000,2020,GOIÂNIA,SEXTA,PARK LOZANDES,GO,GO 020,URBANO,01ª RISP - GOIÂNIA,NÃO IDENTIFICADO,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17181409,2020-11-20 06:07:00.000,2020,GOIÂNIA,SEXTA,VILA SÃO LUÍZ,GO,RUA ANICUNS,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
17181171,2020-11-20 03:49:00.000,2020,GOIÂNIA,SEXTA,JARDIM NOVO MUNDO,GO,GO 403,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
14655572,2020-04-22 15:58:00.000,2020,GOIÂNIA,QUARTA,PARQUE DAS NAÇÕES,GO,RUA FINLÂNDIA,URBANO,01ª RISP - GOIÂNIA,CHÁCARA/SÍTIO,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
14650718,2020-04-22 09:26:00.000,2020,GOIÂNIA,QUARTA,SETOR URIAS MAGALHÃES II,GO,RUA UM 10,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,MASCULINO
14649802,2020-04-22 06:41:00.000,2020,GOIÂNIA,QUARTA,RESIDENCIAL RECANTO DO BOSQUE,GO,RUA RB 19,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,MASCULINO
14622465,2020-04-19 16:32:00.000,2020,GOIÂNIA,DOMINGO,DA VITÓRIA,GO,RUA A 12,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
13872286,2020-02-16 15:05:00.000,2020,GOIÂNIA,DOMINGO,SETOR SUL,GO,RUA 87 - LADO ÍMPAR,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,MASCULINO
13819984,2020-02-12 14:47:00.000,2020,GOIÂNIA,QUARTA,SETOR CASTELO BRANCO,GO,MARGINAL CASCAVEL,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
13749999,2020-02-06 14:00:00.000,2020,GOIÂNIA,QUINTA,SETOR CENTRAL,GO,PRAÇA CÍVICA,URBANO,01ª RISP - GOIÂNIA,PRAÇA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),30 A 34,MASCULINO
13749999,2020-02-06 14:00:00.000,2020,GOIÂNIA,QUINTA,SETOR CENTRAL,GO,PRAÇA CÍVICA,URBANO,01ª RISP - GOIÂNIA,PRAÇA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,MASCULINO
13613202,2020-01-26 19:43:00.000,2020,GOIÂNIA,DOMINGO,SETOR AEROPORTO,GO,AVENIDA ANHANGÜERA,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),30 A 34,FEMININO
13555320,2020-01-21 21:35:00.000,2020,GOIÂNIA,TERÇA,SETOR SÃO JOSÉ,GO,AV PADRE WENDEL,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
13554021,2020-01-21 19:45:00.000,2020,GOIÂNIA,TERÇA,JARDIM MIRABEL,GO,RUA FÉLIX DE BULHÕES,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO-INFORMADO
13554006,2020-01-21 19:40:00.000,2020,GOIÂNIA,TERÇA,RESIDENCIAL SERRA AZUL I,GO,RUA ANTÔNIO CONSELHEIRO,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
13553579,2020-01-21 19:03:00.000,2020,GOIÂNIA,TERÇA,JARDIM MIRABEL,GO,RUA MONTE SINAI,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),12 A 17,FEMININO
13553579,2020-01-21 19:03:00.000,2020,GOIÂNIA,TERÇA,JARDIM MIRABEL,GO,RUA MONTE SINAI,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),12 A 17,MASCULINO
13553579,2020-01-21 19:03:00.000,2020,GOIÂNIA,TERÇA,JARDIM MIRABEL,GO,RUA MONTE SINAI,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),18 A 24,FEMININO
13553579,2020-01-21 19:03:00.000,2020,GOIÂNIA,TERÇA,JARDIM MIRABEL,GO,RUA MONTE SINAI,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),18 A 24,MASCULINO
13553579,2020-01-21 19:03:00.000,2020,GOIÂNIA,TERÇA,JARDIM MIRABEL,GO,RUA MONTE SINAI,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,FEMININO
13553579,2020-01-21 19:03:00.000,2020,GOIÂNIA,TERÇA,JARDIM MIRABEL,GO,RUA MONTE SINAI,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,MASCULINO
13553461,2020-01-21 18:43:00.000,2020,GOIÂNIA,TERÇA,RESIDENCIAL FORTEVILLE,GO,RUA FV 1,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,FEMININO
13553154,2020-01-21 18:29:00.000,2020,GOIÂNIA,TERÇA,PARQUE INDUSTRIAL JOÃO BRÁZ,GO,RUA MISSÕES,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
13552996,2020-01-21 18:17:00.000,2020,GOIÂNIA,TERÇA,JARDIM CARAVELAS,GO,RUA JCA 12,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,MASCULINO
13552532,2020-01-21 17:47:00.000,2020,GOIÂNIA,TERÇA,PARQUE INDUSTRIAL JOÃO BRÁZ,GO,RUA CRISTÓVÃO COLOMBO,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
13552074,2020-01-21 17:07:00.000,2020,GOIÂNIA,TERÇA,SETOR SANTOS DUMONT,GO,RUA 20,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
13551552,2020-01-21 16:35:00.000,2020,GOIÂNIA,TERÇA,CONJUNTO VERA CRUZ,GO,RUA VC 18,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
